"In-Situ Inc.","Troll",,,,,
,,,,,,
"Report generated:",10/2/2003,15:16:09,,,,
"Report from file:","J:\shreiner\SsFL\Northeast Area Studies\Pumping Tests\C-1\bin Files\New to be updated\SN13360 2003-08-25 110000 WS-14 C1 P-test.bin",,,,,
"DataMgr Version",3.7,,,,,
,,,,,,
"Serial number:",13360,,,,,
"Firmware Version",7.1,,,,,
"Unit name: ","SP-4000",,,,,
,,,,,,
"Test name:",,"WS-14 C1 P-test",,,,
,,,,,,
"Test defined on:",8/21/2003,11:10:26,,,,
"Test scheduled for:",8/25/2003,11:00:00,,,,
"Test started on:",8/25/2003,11:00:00,,,,
"Test stopped on:","N/A","N/A",,,,
"Test extracted on:",9/30/2003,10:50:15,,,,
,,,,,,
"Data gathered using Logarithmic testing",,,,,,
"   Maximum time between data points:      10.0000","Minutes.",,,,,
"   Number of data samples:",5316,,,,,
,,,,,,
,,,,,,
"TOTAL DATA SAMPLES",5316,,,,,
,,,,,,
"Channel number [2]",,,,,,
"  Measurement type:","Pressure",,,,,
"  Channel name:","WS14 dtw",,,,,
37858.50468750000000000000,66.7580,1.1126,0.0464,354.1050,0.0600,1524.1250
37858.50744212960000000000,70.7180,1.1786,0.0491,354.0920,0.0470,1524.1380
37858.51034722220000000000,74.9113,1.2485,0.0520,354.0920,0.0470,1524.1380
37858.51343750000000000000,79.3547,1.3226,0.0551,354.1050,0.0600,1524.1250
37858.51670138890000000000,84.0613,1.4010,0.0584,354.1050,0.0600,1524.1250
37858.52016203700000000000,89.0463,1.4841,0.0618,354.0920,0.0470,1524.1380
37858.52383101850000000000,94.3263,1.5721,0.0655,354.0920,0.0470,1524.1380
37858.52771990740000000000,99.9197,1.6653,0.0694,354.0920,0.0470,1524.1380
37858.53182870370000000000,105.8447,1.7641,0.0735,354.0920,0.0470,1524.1380
37858.53619212960000000000,112.1197,1.8687,0.0779,354.0920,0.0470,1524.1380
37858.54081018520000000000,118.7680,1.9795,0.0825,354.0920,0.0470,1524.1380
37858.54569444440000000000,125.8097,2.0968,0.0874,354.0730,0.0280,1524.1570
37858.55087962960000000000,133.2680,2.2211,0.0925,354.0920,0.0470,1524.1380
37858.55636574070000000000,141.1680,2.3528,0.0980,354.0730,0.0280,1524.1570
37858.56217592590000000000,149.5363,2.4923,0.1038,354.0730,0.0280,1524.1570
37858.56833333330000000000,158.4013,2.6400,0.1100,354.0730,0.0280,1524.1570
37858.57484953700000000000,167.7913,2.7965,0.1165,354.0730,0.0280,1524.1570
37858.58175925930000000000,177.7380,2.9623,0.1234,354.0590,0.0140,1524.1710
37858.58870370370000000000,187.7380,3.1290,0.1304,354.0730,0.0280,1524.1570
37858.59564814810000000000,197.7380,3.2956,0.1373,354.0590,0.0140,1524.1710
37858.60259259260000000000,207.7380,3.4623,0.1443,354.0410,-0.0040,1524.1890
37858.60953703700000000000,217.7380,3.6290,0.1512,354.0410,-0.0040,1524.1890
37858.61648148150000000000,227.7380,3.7956,0.1582,354.0410,-0.0040,1524.1890
37858.62342592590000000000,237.7380,3.9623,0.1651,354.0270,-0.0180,1524.2030
